Level,players,Attempts,Relative Churn,Global Churn,APS,Pure APS,% Revived,% Used Boosters,% Used PG Boosters,Avg Win (s),Avg Lose (s),Avg Moves Left,Avg Targets Left,Avg Switch,Avg Slingshots,Avg Hammers,Avg Rockets,Avg Colors,Avg PG Color,Avg PG Electric,Multi Stacks,Avg Combo,Avg SuperCombo,Avg MegaCombo,Avg BigCombo,Avg Electrics,Avg hottestTiles,hottestTile Progression,Momentum hottestTile,Momentum ColorRush,Avg inGameCoins,Quits
Level 380,29,54,0%,0%,1.13,9,13%,13%,0%,131,170,5,140,0.38,0.38,0,0,0,0,0,4,1.22,0.43,0.22,0.91,0.22,0.17,0,0.09,0.17,2.9,0
Level 381,29,48,3%,0%,1,9.6,14%,14%,14%,172,,9,,0,0,0,0.14,0,0,0.14,12,2.83,0.57,0.3,1.96,0.3,0.22,0.09,0.09,0.17,2.95,0
Level 382,28,52,0%,0%,1.13,8.67,33%,0%,0%,172,264,7,98,0.11,0,0,0,0,0,0,9,2.77,0.59,0.23,2.18,0.09,0.23,0.09,0.09,0.18,3,0
Level 383,28,53,0%,0%,1.15,10.6,29%,0%,0%,175,270,6,110,0.14,0,0,0,0,0,0,17,2.76,0.95,0.29,1.71,0.14,0.1,0.1,0.14,0.24,4.21,0
Level 384,28,58,0%,0%,1.26,19.33,29%,14%,14%,194,273,7,126,0,0.14,0,0,0,0.14,0.14,8,2.23,0.45,0.14,1.05,0.05,0.05,0.05,0.09,0.18,3.55,0
Level 385,28,50,0%,0%,1.09,10,33%,11%,0%,178,266,4,35,0.22,0,0.11,0,0,0,0,9,2.95,0.86,0.14,1.77,0.09,0.05,0.05,0.09,0.14,2.38,0
Level 386,28,51,0%,0%,1.11,8.5,14%,14%,0%,190,383,6,,0,0,0,0,0.14,0,0,14,2.58,0.37,0.63,1.68,0.11,0.58,0,0.11,0.16,4.94,0
Level 387,28,52,0%,0%,1.13,10.4,29%,0%,0%,173,298,7,,0,0,0,0,0,0,0,13,2.35,0.9,0.3,2.65,0,0.2,0,0.1,0.15,2.47,0
Level 388,28,50,0%,0%,1.09,10,14%,14%,0%,209,368,7,,0.29,0,0.43,0,0,0,0,11,3.04,0.58,0.42,1.96,0.13,0.29,0.04,0.13,0.21,3.71,0
Level 389,28,53,0%,0%,1.15,10.6,22%,0%,0%,159,263,7,67,0,0,0,0,0,0,0,14,3.22,0.83,0.17,1.65,0.17,0.22,0.04,0.13,0.17,4.6,0
Level 390,28,46,0%,0%,1,15.33,29%,43%,0%,180,,3,,0.43,0.57,0.43,0.14,0,0,0,19,2.24,0.9,0.29,2.24,0.24,0.29,0.05,0.14,0.19,5,0
Level 391,28,50,0%,0%,1.09,12.5,44%,33%,0%,226,426,7,35,0.44,0.11,0,0.22,0.11,0,0,15,2.43,0.96,0.43,2.39,0.09,0.35,0.04,0.09,0.13,3.75,0
Level 392,28,56,0%,0%,1.22,9.33,0%,8%,8%,156,180,3,110,0.17,0,0.5,0,0,0,0.08,10,3.21,0.89,0.29,2.18,0.32,0.21,0.04,0.07,0.07,7.76,0
Level 393,28,55,0%,0%,1.2,11,0%,14%,0%,175,198,4,88,0,0,0,0.07,0.07,0,0,10,2.11,0.79,0.14,1.89,0.18,0.14,0,0.07,0.18,2.68,0
Level 394,28,60,0%,0%,1.3,12,23%,15%,0%,184,325,9,82,0.31,0.15,0.31,0.15,0.08,0,0,10,2.52,0.86,0.38,2,0.24,0.31,0.03,0.07,0.21,3.4,0
Level 395,28,48,0%,0%,1.04,16,14%,43%,14%,228,173,7,,0.43,1.29,0.43,0.29,0,0,0,9,2.76,0.38,0.14,1.05,0.14,0.19,0.05,0.1,0.24,9.61,0
Level 396,28,52,4%,0%,1.18,13,44%,11%,0%,166,390,5,35,0.22,0,0.11,0,0,0,0,13,3.21,0.71,0.33,1.88,0.17,0.25,0.04,0.08,0.25,4.43,0
Level 397,27,52,-4%,0%,1.18,8.67,9%,0%,0%,177,219,3,114,0.27,0,0,0,0,0,0,11,2.58,0.54,0.25,1.83,0.08,0.21,0,0.08,0.21,4.27,0
Level 398,28,51,4%,0%,1.11,8.5,14%,0%,0%,169,298,10,,0.29,0,0,0,0,0,0,12,2.8,1.04,0.44,1.72,0.08,0.32,0.08,0.16,0.2,5,0
Level 399,27,46,0%,0%,1.05,7.67,0%,0%,0%,154,226,9,,0.17,0,0,0,0,0,0,14,3.23,0.82,0.41,1.86,0.27,0.36,0.05,0.18,0.18,3.61,0
Level 400,27,50,0%,0%,1.14,12.5,14%,29%,0%,144,180,6,1,0.29,0,0.29,0.14,0,0,0,6,1.16,0.4,0.12,1.4,0.16,0.08,0,0.08,0.08,3.33,0
Level 401,27,55,0%,0%,1.25,13.75,33%,22%,0%,172,354,5,51,0.56,0.11,0.33,0,0.33,0,0,13,3.29,0.75,0.46,2.21,0.13,0.25,0.08,0.08,0.13,4.1,0
Level 402,27,60,0%,0%,1.36,8.57,0%,0%,0%,163,215,5,87,0,0,0,0,0,0,0,12,3.07,0.63,0.33,2.52,0.11,0.26,0.11,0.07,0.07,3.38,0
Level 403,27,50,0%,0%,1.14,10,0%,25%,0%,167,294,9,19,0,0,0.63,0,0,0,0,9,2.92,0.38,0.33,2.04,0.08,0.29,0.08,0.08,0.13,3.24,0
Level 404,27,48,0%,0%,1.09,9.6,14%,14%,0%,195,212,6,,0.14,0,0.14,6.29,0.14,0,0,10,2.25,0.83,0.25,2.38,0.25,0.21,0.04,0.04,0.08,2.4,0
Level 405,27,47,4%,0%,1.12,7.83,0%,0%,0%,176,229,10,130,0.14,0,0,0,0,0,0,19,3.27,0.5,0.32,2.23,0.23,0.32,0.05,0.05,0.14,8.56,0
Level 406,26,50,0%,0%,1.19,25,50%,13%,0%,209,364,5,54,0.5,0,0,0,0.13,0,0,9,2.21,0.58,0.08,1.79,0.33,0.13,0.04,0.04,0.08,3.8,0
Level 407,26,52,0%,0%,1.24,8.67,14%,0%,0%,171,214,8,70,0.07,0,0,0,0,0,0,10,2.73,0.63,0.23,1.83,0.1,0.2,0.03,0.03,0.1,3.35,0
Level 408,26,42,0%,0%,1,7,0%,0%,17%,181,,6,,0.17,0,0,0,0,0,0.17,8,2,0.52,0.13,1.43,0.09,0.13,0.04,0.04,0.13,7.22,0
Level 409,26,56,0%,0%,1.33,11.2,11%,0%,0%,137,275,4,194,0.11,0,0,0,0,0,0,11,2.62,0.73,0.27,2.27,0.27,0.23,0.04,0.04,0.08,3.35,0
Level 410,26,44,0%,0%,1.05,22,50%,17%,0%,196,437,8,,0.5,0.17,0.17,0,0,0,0,14,2.29,0.96,0.42,2.5,0.17,0.29,0.04,0.04,0.13,5.53,0
Level 411,26,44,0%,0%,1.05,8.8,17%,0%,0%,153,184,9,,0.17,0,0,0,0,0,0,13,2.55,1.18,0.5,2.27,0.41,0.36,0.05,0.05,0.14,3.59,0
Level 412,26,48,0%,0%,1.14,9.6,13%,0%,0%,191,272,12,165,0,0,0,0,0,0,0,10,2.54,0.43,0.21,2.18,0.14,0.18,0.04,0.04,0.14,3.1,0
Level 413,26,52,0%,0%,1.24,10.4,20%,10%,10%,191,362,7,48,0,0.1,0,0.1,0.1,0,0,9,3.04,0.93,0.33,1.52,0.19,0.26,0.04,0.04,0.11,7.91,0
Level 414,26,44,0%,0%,1.05,7.33,14%,0%,0%,189,332,6,103,0.14,0,0,0,0,0,0,11,2.21,0.83,0.17,1.88,0.25,0.13,0.04,0.04,0.08,2.95,0
Level 415,26,43,0%,0%,1.02,10.75,17%,17%,0%,182,120,1,,0.17,0.17,0.67,0,0,0,0,9,2.48,0.74,0.04,1.65,0.17,0.04,0.04,0.04,0.22,3.5,0
Level 416,26,42,0%,0%,1,10.5,33%,0%,0%,206,,6,,0,0,0,0,0,0,0,10,2,0.83,0.43,2.09,0.48,0.35,0.04,0.04,0.13,3.17,0
Level 417,26,50,0%,0%,1.19,16.67,20%,20%,0%,195,219,4,33,0.3,0,0.1,0.1,0,0,0,14,2.77,0.85,0.35,2.35,0.23,0.31,0.04,0.04,0.15,3.73,0
Level 418,26,48,0%,0%,1.14,16,18%,18%,0%,170,187,6,76,0.45,0.82,0.18,0.18,0,0,0,11,2.5,0.57,0.18,1.86,0.18,0.18,0.04,0.04,0.21,2.88,0
Level 419,26,42,0%,0%,1,7,0%,0%,0%,160,,11,,0.67,0,0,0,0,0,0,14,2.86,0.71,0.33,2.38,0.05,0.33,0.05,0.05,0.29,3.35,0
Level 420,26,43,0%,0%,1.02,8.6,17%,0%,0%,115,,3,,0.17,0,0,0,0,0,0,5,1.05,0.43,0.1,0.9,0.1,0.05,0.05,0.1,0.29,1.12,0
Level 421,26,48,0%,0%,1.14,9.6,13%,13%,0%,163,296,6,343,0.38,0,0,0.13,0,0,0,10,2.67,0.71,0.29,1.54,0.17,0.29,0.04,0.08,0.25,2.95,0
Level 422,26,55,0%,0%,1.31,11,17%,25%,0%,171,276,8,34,0.25,0.08,0.25,0.25,0,0,0,8,1.83,0.62,0.17,1.59,0.17,0.21,0.07,0.14,0.21,2.42,0
Level 423,26,42,0%,0%,1,8.4,17%,0%,17%,153,,7,,0.33,0,0,0,0,0,0.17,11,1.88,0.5,0.29,2.29,0.08,0.29,0.13,0.21,0.29,4.16,0
Level 424,26,44,0%,0%,1.05,11,11%,11%,0%,197,265,10,84,0.11,0.22,0,0,0.11,0,0,10,2.74,1.07,0.3,2,0.37,0.15,0.11,0.19,0.22,2.91,0
Level 425,26,48,0%,0%,1.14,12,17%,33%,0%,182,133,7,60,0.08,0.25,0.25,0.25,0.08,0,0,7,2.64,0.58,0.24,1.61,0.15,0.24,0.06,0.15,0.18,2.79,0
Level 426,26,42,0%,0%,1,8.4,17%,17%,0%,167,,12,,0,0.17,0,0,0.33,0,0,11,2.67,0.75,0.25,2.79,0.21,0.25,0.08,0.17,0.21,2.74,0
Level 427,26,55,0%,0%,1.31,9.17,6%,6%,0%,161,190,5,72,0.19,0,0,0.06,0,0,0,6,2.34,0.37,0.26,1.57,0.11,0.2,0.06,0.11,0.23,2.53,0
Level 428,26,50,0%,0%,1.19,12.5,33%,0%,0%,185,363,4,111,0.5,0,0,0,0,0,0,10,2.56,0.75,0.41,2.16,0.25,0.34,0.06,0.13,0.19,3.15,0
Level 429,26,46,0%,0%,1.1,9.2,17%,17%,0%,153,287,10,,0.33,0,0,0,0.17,0,0,10,2.3,0.89,0.33,1.81,0.26,0.19,0.04,0.15,0.22,2.83,0
Level 430,26,45,0%,0%,1.07,9,17%,0%,0%,212,160,6,,0.17,0,0,0,0,0,0,11,2.81,0.88,0.15,1.85,0.23,0.08,0.12,0.15,0.23,8.1,0
Level 431,26,46,0%,0%,1.1,9.2,14%,0%,0%,188,223,8,40,0.14,0,0,0,0,0,0,12,2.48,0.56,0.33,2.07,0.19,0.22,0.04,0.11,0.22,3.23,0
Level 432,26,54,0%,0%,1.29,10.8,0%,10%,0%,162,255,9,20,0,0.2,0,0,0.2,0,0,17,2.53,0.6,0.47,2.03,0.23,0.4,0.07,0.17,0.23,3.96,0
Level 433,26,42,0%,0%,1,10.5,17%,33%,0%,212,,5,,0.17,0,0,0.33,0,0,0,11,2.85,0.96,0.31,1.69,0.08,0.15,0.08,0.19,0.23,3.27,0
Level 434,26,42,0%,0%,1,8.4,0%,17%,0%,161,,5,,0.33,0,0,0.17,0,0,0,11,2.5,0.63,0.33,2.21,0.08,0.25,0.08,0.21,0.21,13.75,0
Level 435,26,46,0%,0%,1.1,11.5,25%,13%,0%,161,198,10,74,0.5,2.75,0.75,0,0,0,0,8,2.56,0.81,0.11,1.59,0.07,0.11,0.07,0.15,0.19,2.09,0
Level 436,26,51,0%,0%,1.21,25.5,44%,22%,0%,185,200,4,140,0.11,0.33,0.33,0,0,0,0,14,2.43,0.68,0.29,2.54,0.25,0.21,0.07,0.14,0.18,3.91,0
Level 437,26,46,0%,0%,1.1,9.2,29%,0%,14%,211,381,7,90,0.14,0,0,0,0,0,0.14,12,2.38,0.54,0.38,2.08,0.15,0.27,0.04,0.12,0.15,3.86,0
Level 438,26,44,4%,0%,1.05,22,57%,14%,0%,226,458,3,1,0,1,0,0,0,0,0,11,2.72,0.64,0.24,1.64,0.12,0.16,0.04,0.12,0.2,4.14,0
Level 439,25,48,0%,0%,1.2,12,8%,8%,0%,218,340,3,114,0.31,0,0,0,0.15,0,0,9,2.47,0.81,0.25,1.88,0.16,0.16,0.03,0.09,0.13,3.57,0
Level 440,25,48,0%,0%,1.2,24,50%,20%,0%,162,95,3,110,0.1,0.1,0,0.1,0.1,0,0,7,1.78,0.44,0.11,1.33,0.11,0.11,0.04,0.15,0.15,4.17,2
Level 441,25,46,0%,0%,1.15,9.2,14%,14%,0%,164,148,11,81,0.29,0.14,0,0,0,0,0,10,2.63,0.81,0.26,1.78,0.07,0.22,0.04,0.11,0.11,3.54,0
Level 442,25,46,0%,0%,1.15,9.2,14%,14%,0%,195,273,8,153,0.14,0.43,0.43,0,0,0,0,7,2.25,0.36,0.07,1.75,0.18,0.07,0.04,0.11,0.14,2.24,0
Level 443,25,43,0%,0%,1.08,14.33,43%,14%,0%,205,139,4,2,0.29,0,0,0,0.14,0,0,13,2.76,0.72,0.48,2.16,0.2,0.32,0.04,0.12,0.2,3.1,0
Level 444,25,42,0%,0%,1.05,8.4,17%,0%,0%,173,,2,,0.33,0,0,0,0,0,0,15,2.73,1.12,0.31,2,0.31,0.23,0.04,0.08,0.12,3.86,0
Level 445,25,50,0%,0%,1.25,25,23%,8%,15%,189,131,6,66,0.08,0.08,0,0,0.08,0.08,0.08,8,2.21,0.53,0.21,1.76,0.21,0.15,0,0.09,0.09,2.36,0
Level 446,25,45,0%,0%,1.13,9,29%,0%,0%,188,385,7,35,0,0,0,0,0,0,0,14,2.71,0.92,0.54,2.25,0.21,0.38,0.04,0.08,0.13,3.43,0
Level 447,25,44,0%,0%,1.1,8.8,0%,17%,0%,194,184,6,,0.5,0.17,0,0.33,0.17,0,0,12,2.81,0.69,0.27,2.04,0.19,0.15,0,0.04,0.08,4.05,0
Level 448,25,40,0%,0%,1,13.33,50%,17%,17%,194,,6,,0.33,0.17,0,0,0,0.17,0,15,2.95,0.73,0.18,2.45,0.09,0.14,0.05,0.05,0.09,4.37,0
Level 449,25,40,0%,0%,1,6.67,0%,14%,14%,180,,10,,0.29,0,0,0,0.29,0.14,0,12,2.52,0.48,0.48,2.04,0.09,0.48,0.04,0.04,0.13,2.55,0
Level 450,25,46,0%,0%,1.15,7.67,15%,31%,0%,174,344,9,179,0.08,0.23,0,0.15,0,0,0,9,2.03,0.59,0.1,1.69,0.03,0.07,0,0.03,0.14,2.54,0
Level 451,25,42,8%,0%,1.05,8.4,14%,14%,14%,139,,10,,0.71,0.43,0,0,0,0.14,0,17,3.17,0.91,0.39,2.87,0.22,0.35,0.09,0.09,0.17,4.75,0
Level 452,23,41,0%,0%,1.11,13.67,17%,17%,17%,150,230,6,275,0.17,0,0.17,0.17,0,0.17,0.17,13,2.32,0.5,0.64,2.18,0.18,0.32,0.09,0.05,0.18,4.58,0
Level 453,23,37,0%,0%,1,18.5,0%,60%,0%,206,,2,,0.8,2,0,0.6,0.4,0,0,12,1.8,0.8,0.4,2.25,0.3,0.35,0.05,0.05,0.15,2.18,0
Level 454,23,45,0%,0%,1.22,11.25,25%,25%,0%,177,204,10,38,0,0.5,0,0,0,0,0,13,2.31,0.5,0.31,1.88,0.08,0.31,0.04,0.04,0.12,3.7,0
Level 455,23,45,0%,0%,1.22,15,13%,25%,0%,143,271,9,67,0,0.13,0.13,0,0,0,0,10,2.21,0.46,0.33,1.75,0.08,0.29,0.04,0.04,0.08,3.86,0
Level 456,23,47,0%,0%,1.27,11.75,17%,0%,0%,182,263,2,211,0,0,0,0,0,0,0,7,2.44,0.64,0.28,2.16,0.28,0.24,0.04,0.04,0.04,3.35,0
Level 457,23,39,0%,0%,1.05,13,20%,40%,0%,162,163,6,,1,0,0,0.2,0.2,0,0,12,2.41,0.68,0.23,2.18,0.27,0.23,0.05,0.05,0.05,2.88,0
Level 458,23,38,0%,0%,1.03,9.5,0%,20%,0%,176,432,6,,0.8,0,0,0.2,0,0,0,13,1.95,1.11,0.26,3,0.26,0.21,0,0,0.05,3.47,0
Level 459,23,47,0%,0%,1.27,15.67,14%,43%,14%,174,230,5,52,0.29,0.14,0,0.29,0.14,0.14,0.14,9,2.27,0.54,0.23,1.35,0.08,0.19,0,0,0.04,4.71,0
Level 460,23,41,0%,0%,1.11,10.25,0%,20%,0%,155,236,5,,0.2,1.6,0.2,0,0,0,0,5,1.17,0.43,0,1.09,0,0,0,0,0.13,3,0
Level 461,23,37,0%,0%,1,12.33,0%,40%,20%,165,,7,,0.2,0.2,0,0,0.4,0.2,0,13,3,1.1,0.24,1.95,0.29,0.19,0,0,0.1,4.21,0
Level 462,23,39,0%,0%,1.05,9.75,33%,17%,17%,184,,4,2,0,0.17,0,0,0,0,0,13,3.18,1.05,0.59,1.95,0.09,0.55,0,0,0.05,3.95,0
Level 463,23,40,0%,0%,1.05,13.33,14%,14%,14%,221,,7,2,0.14,1.29,0,0,0,0.14,0,11,2.72,0.36,0.16,1.8,0,0.2,0.04,0.04,0.04,4.29,0
Level 464,23,39,4%,0%,1.05,13,40%,20%,0%,213,173,6,,0,0.2,0,0,0,0,0,15,3,0.9,0.38,1.48,0,0.33,0.05,0.05,0.1,5.45,0
Level 465,22,37,0%,0%,1.06,12.33,0%,25%,0%,157,479,17,,0,0.25,0,0,0,0,0,17,2.36,0.86,0.41,1.77,0,0.41,0,0.05,0.09,5.62,0
Level 466,22,36,0%,0%,1.03,12,0%,25%,25%,189,,7,,0,0.5,0,0,0,0.25,0.25,8,2.05,0.47,0.26,1.21,0.05,0.16,0.05,0.05,0.11,2.06,0
Level 467,22,43,0%,0%,1.23,43,20%,60%,20%,160,201,9,126,0.4,1.2,0.2,0,0,0.2,0.2,13,2.67,0.48,0.19,1.9,0.1,0.19,0,0,0.1,4,1
Level 468,22,39,0%,0%,1.11,13,0%,20%,0%,204,287,9,47,0.4,0.8,0,0,0,0,0,12,2.79,0.68,0.26,2.68,0,0.16,0,0,0.11,3.58,0
Level 469,22,38,0%,0%,1.09,9.5,0%,20%,20%,208,280,5,,0,0.4,0,0,0,0.2,0.2,13,2.26,1.05,0.21,1.47,0.05,0.16,0,0.05,0.16,4.84,0
Level 470,22,38,0%,0%,1.09,9.5,29%,29%,0%,161,226,12,170,0,0.29,0,0.14,0,0,0,11,2.65,0.75,0.2,2.05,0,0.15,0,0.05,0.25,3.2,0
Level 471,22,35,0%,0%,1,8.75,14%,29%,0%,156,,4,,0.14,0.14,0.14,0,0,0,0,15,2.56,0.33,0.28,2.11,0,0.33,0,0.06,0.22,3.67,0
Level 472,22,37,0%,0%,1.06,12.33,38%,13%,0%,174,121,7,200,0,0.25,0,0,0,0,0,14,3.76,0.76,0.29,1.81,0,0.19,0,0.1,0.1,6.1,0
Level 473,22,38,0%,0%,1.09,12.67,57%,0%,14%,196,195,3,,0.14,0,0,0,0,0.14,0,14,2.67,0.67,0.17,2.11,0.06,0.17,0.06,0.11,0.11,5.11,0
Level 474,22,39,0%,0%,1.11,7.8,22%,11%,11%,202,223,4,100,0,0,0,0.11,0,0.11,0.11,12,2.45,0.7,0.4,1.7,0.05,0.35,0.05,0.1,0.15,4.35,0
Level 475,22,37,0%,0%,1.06,7.4,14%,14%,0%,160,155,10,,0,0.14,0,0,0,0,0,9,1.82,0.88,0.24,1.59,0,0.24,0.06,0.12,0.18,2.41,0
Level 476,22,38,0%,0%,1.09,6.33,13%,13%,0%,147,209,5,140,0,0,0,0.13,0,0,0,6,1.47,0.53,0.21,1.16,0,0.16,0.05,0.11,0.11,2.37,0
Level 477,22,35,0%,0%,1,5.83,0%,25%,0%,162,,9,,0.13,0.13,0,0.13,0.13,0,0,9,2.06,0.44,0.17,1.56,0.06,0.11,0,0.06,0.06,2.44,0
Level 478,22,36,0%,0%,1.03,7.2,25%,25%,13%,179,,6,,0,0.13,0.38,0.25,0,0,0.13,12,2.67,0.61,0.28,2,0.11,0.28,0,0.06,0.06,4.06,0
Level 479,22,37,0%,0%,1.06,9.25,13%,50%,0%,145,183,4,,0.75,0.38,0.38,0.13,0.25,0,0,17,1.89,0.61,0.28,0.89,0,0.28,0,0.06,0.06,6.89,0
Level 480,22,36,0%,0%,1.03,5.14,0%,13%,0%,114,,3,,0.5,0,0,0,0.13,0,0,4,1.13,0.25,0.19,0.94,0.06,0.13,0,0.06,0.13,3,0
Level 481,22,36,5%,0%,1.03,9,38%,25%,0%,202,241,6,,0,0.25,0,0.13,0,0,0,14,3.56,1.11,0.39,1.78,0.17,0.33,0,0.06,0.11,4.12,0
Level 482,21,44,0%,0%,1.29,7.33,9%,9%,9%,139,247,6,71,0.18,0,0,0,0.09,0.09,0.09,7,2.29,0.43,0.29,1.9,0.05,0.24,0,0.05,0.14,3.75,0
Level 483,21,36,0%,0%,1.06,7.2,11%,11%,11%,165,,6,130,0,0.33,0,0,0.11,0.11,0.11,9,1.94,0.78,0.5,2.44,0.17,0.17,0,0.06,0.22,3.06,0
Level 484,21,36,0%,0%,1.06,7.2,0%,25%,0%,165,168,6,119,0,0.88,0.25,0.13,0,0,0,4,1.76,0.24,0.06,1.06,0.12,0,0,0.06,0.18,1.88,0
Level 485,21,39,0%,0%,1.15,7.8,20%,20%,0%,182,316,4,83,0,0.4,0,0,0.2,0,0,8,2.68,0.42,0.26,1.32,0.05,0.16,0,0.05,0.11,3.22,0
Level 486,21,38,0%,0%,1.12,9.5,33%,22%,11%,176,222,4,46,0,0.22,0,0,0.11,0.11,0.11,16,1.84,0.68,0.32,2.37,0.26,0.32,0,0.11,0.16,6,0
Level 487,21,39,0%,0%,1.08,6.5,11%,22%,11%,196,154,7,45,0,0.22,0.11,0,0.11,0.11,0.11,11,2.8,0.75,0.6,1.75,0.1,0.5,0,0.05,0.05,3.42,0
Level 488,21,39,0%,0%,1.15,6.5,11%,0%,0%,184,168,5,123,0,0,0,0,0,0,0,12,2.76,0.65,0.29,1.41,0,0.18,0,0.06,0.06,13.44,0
Level 489,21,34,0%,0%,1,8.5,29%,43%,0%,171,,8,,0,0.57,0.14,0,0,0,0,12,3.07,0.2,0.27,2.67,0,0.2,0,0.07,0.07,3.21,0
Level 490,21,37,0%,0%,1.09,7.4,14%,29%,0%,176,394,10,,0.14,0.29,0,0,0,0,0,9,1.76,0.35,0.24,2.18,0,0.18,0,0.06,0.06,3,0
Level 491,21,38,0%,0%,1.12,9.5,22%,22%,0%,160,244,4,14,0.22,0.11,0.22,0,0,0,0,9,2.94,0.35,0.18,1.82,0,0.18,0,0.06,0.12,3.75,0
Level 492,21,39,0%,0%,1.15,7.8,38%,13%,0%,161,165,4,11,0,0,0.13,0,0,0,0,11,2.47,0.94,0.18,1.59,0,0.12,0.06,0.06,0.18,5.56,0
Level 493,21,44,0%,0%,1.29,6.29,27%,0%,9%,166,255,8,55,0.09,0,0,0,0,0.09,0.09,7,2.42,0.53,0.21,1.47,0.11,0.21,0,0.05,0.16,2.72,0
Level 494,21,35,5%,0%,1.03,7,14%,14%,14%,193,144,3,,0,0,0.29,0,0,0.14,0.14,11,2.94,0.31,0.38,2.06,0.06,0.38,0.06,0.06,0.19,2.6,0
Level 495,20,32,-5%,0%,1,6.4,14%,29%,0%,159,,5,,0,0.14,0.43,0,0,0,0,5,1.94,0.78,0,1.44,0.22,0,0,0.06,0.17,2.82,0
Level 496,21,38,5%,0%,1.12,6.33,0%,13%,0%,157,160,3,101,0.13,0,0.13,0,0,0,0,10,2.19,0.38,0.25,2.25,0.06,0.19,0,0.06,0.19,5.8,0
Level 497,20,34,0%,0%,1.06,5.67,0%,14%,14%,169,139,6,12,0,0.14,0,0,0,0.14,0.14,10,2.25,0.69,0.31,1.88,0.19,0.31,0.13,0.13,0.19,3.87,0
Level 498,20,38,5%,0%,1.19,19,38%,25%,0%,202,116,4,154,0.25,0.13,0,0,0.13,0,0,9,2.25,0.56,0.31,1.63,0.06,0.25,0.13,0.13,0.19,3.53,1
Level 499,19,31,0%,0%,1.03,7.75,20%,0%,0%,178,,4,,0,0,0,0,0,0,0,15,2.79,1,0.43,2.79,0.21,0.29,0.07,0.14,0.21,4.17,0
Level 500,19,34,0%,0%,1.13,8.5,11%,0%,0%,117,242,4,120,0,0,0,0,0,0,0,3,0.83,0.22,0.06,0.83,0.11,0.06,0,0.11,0.17,0.75,0
Level 501,19,34,0%,0%,1.13,6.8,17%,0%,0%,124,337,5,85,0,0,0,0,0,0,0,9,2.5,0.63,0.38,1.38,0.13,0.25,0,0.06,0.13,2.5,0
Level 502,19,33,0%,0%,1.1,11,0%,33%,17%,150,189,7,126,0,0.17,0,0.33,0,0.17,0.17,11,3,0.83,0.28,2.22,0.17,0.28,0,0.06,0.11,4.41,0
Level 503,19,38,0%,0%,1.27,9.5,25%,13%,13%,141,242,3,140,0,0,0.13,0,0,0.13,0.13,12,2.17,1.17,0.33,2,0.28,0.39,0,0.11,0.17,4.35,0
Level 504,19,32,0%,0%,1.07,10.67,40%,40%,0%,192,163,3,,0,0,0.8,0,0,0,0,14,2.21,0.29,0.79,1.5,0.07,0.64,0.14,0.07,0.14,5,0
Level 505,19,34,0%,0%,1.13,8.5,17%,17%,0%,208,135,7,2,0,0,0,0.33,0,0,0,8,2.5,0.38,0,1.38,0.06,0,0,0.06,0.19,3.8,0
Level 506,19,32,0%,0%,1.07,6.4,0%,17%,17%,223,134,8,80,0,0,0.17,0,0,0.17,0.17,9,2.4,0.27,0.4,1.47,0.13,0.4,0,0.07,0.2,4,0
Level 507,19,30,0%,0%,1,7.5,0%,20%,0%,151,,6,,0,0,0.2,0,0,0,0,10,3,0.64,0.07,1.64,0.14,0.07,0,0,0.14,2.08,0
Level 508,19,34,0%,0%,1.13,11.33,29%,14%,0%,157,465,5,48,0,0,0,0.14,0,0,0,11,1.75,0.31,0.13,1.94,0,0.13,0.06,0.06,0.13,3.67,0
Level 509,19,32,5%,0%,1.07,6.4,13%,13%,0%,153,157,8,91,0.25,0,0.63,0,0,0,0,11,2.71,1.12,0.41,2.47,0.12,0.35,0.06,0.06,0.12,2.69,0
Level 510,18,31,0%,0%,1.15,7.75,14%,0%,0%,204,151,12,55,0.14,0,0,0,0,0,0,13,2.13,0.47,0.6,1.53,0.2,0.4,0.07,0.07,0.07,2.57,0
Level 511,18,29,0%,0%,1,7.25,20%,0%,0%,182,,4,,0.4,0,0,0,0,0,0,12,1.85,1,0.38,2,0.15,0.23,0,0,0,3.75,0
Level 512,18,36,0%,0%,1.2,9,14%,0%,0%,172,222,8,132,0,0,0,0,0,0,0,17,2.4,0.8,0.27,2.2,0.07,0.2,0,0,0.07,5.29,0
Level 513,18,29,0%,0%,1,7.25,0%,20%,0%,150,,7,,0,0,0,0.2,0,0,0,8,2,0.23,0.38,1.23,0,0.31,0,0,0.23,4,0
Level 514,18,32,0%,0%,1.1,10.67,33%,0%,0%,214,226,6,3,0,0,0,0,0,0,0,14,3.53,0.87,0.33,2.2,0.47,0.4,0,0,0.13,2.64,0
Level 515,18,31,0%,0%,1.07,10.33,33%,17%,0%,199,227,7,90,0,0,0,0,0.17,0,0,11,2.07,1,0.6,2.2,0.27,0.33,0,0,0.2,2.71,0
Level 516,18,30,0%,0%,1.03,7.5,0%,20%,0%,168,,1,,0,0,0,0,0.2,0,0,16,3.38,0.77,0.31,1.92,0.31,0.38,0,0,0.23,6.58,0
Level 517,18,29,0%,0%,1,5.8,0%,17%,0%,180,,7,,0.17,0,0,0,0.17,0,0,14,2.93,0.93,0.36,1.71,0.29,0.36,0,0.07,0.14,3.15,0
