Level,players,Attempts,Relative Churn,Global Churn,APS,Pure APS,% Revived,% Used Boosters,% Used PG Boosters,Avg Win (s),Avg Lose (s),Avg Moves Left,Avg Targets Left,Avg Switch,Avg Slingshots,Avg Hammers,Avg Rockets,Avg Colors,Avg PG Color,Avg PG Electric,Multi Stacks,Avg Combo,Avg SuperCombo,Avg MegaCombo,Avg BigCombo,Avg Electrics,Avg hottestTiles,hottestTile Progression,Momentum hottestTile,Momentum ColorRush,Avg inGameCoins,Quits
Level 113,190,510,2%,2%,1.75,10.41,35%,13%,7%,232,271,3,54,0.1,0.25,0.05,0.18,0.06,0.06,0.06,16,3.5,1.17,0.52,3.33,0.17,0.49,0.02,0.04,0.05,4.09,1
Level 114,186,348,2%,2%,1.2,5.61,21%,24%,6%,247,272,6,90,0.12,0.22,0.15,0.24,0.04,0.04,0.05,20,3.94,1.28,0.52,2.91,0.29,0.4,0.02,0.05,0.08,5.79,1
Level 115,183,594,3%,2%,2.14,20.48,41%,19%,7%,311,283,2,174,0.19,0.21,0.05,0.16,0.12,0.05,0.05,14,3.16,0.9,0.43,2.58,0.2,0.37,0.02,0.03,0.05,8.92,0
Level 116,178,278,0%,2%,1,3.43,3%,9%,0%,138,389,4,,0.24,0.07,0.01,0.02,0.01,0,0,3,1.3,0.07,0.01,0.54,0.03,0,0.02,0.06,0.11,1.35,0
Level 117,178,285,1%,2%,1.03,3.65,9%,10%,0%,164,242,7,30,0.17,0.03,0.01,0.02,0.05,0,0,8,2.28,0.52,0.1,1.94,0.08,0.08,0.01,0.06,0.12,2.73,0
Level 118,177,335,1%,2%,1.21,6.32,21%,33%,4%,230,280,10,53,0.21,0.37,0.13,0.17,0.13,0.03,0.02,17,2.2,1.39,0.58,2.42,0.17,0.48,0.02,0.05,0.1,3.72,0
Level 119,175,484,2%,2%,1.8,19.36,27%,19%,8%,270,236,2,89,0.14,0.19,0.13,0.23,0.08,0.04,0.05,12,3.2,0.44,0.08,1.85,0.17,0.12,0.03,0.03,0.06,5.77,0
Level 120,172,275,4%,2%,1.03,3.27,0%,5%,0%,58,165,0,,0.25,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.09,0.18,0.75,0
Level 121,165,471,15%,2%,2.11,22.43,27%,33%,10%,229,223,6,107,0.11,0.3,0.21,0.4,0.14,0.06,0.05,5,1.11,0.33,0.14,0.9,0.13,0.12,0.03,0.04,0.07,2.21,1
Level 122,140,273,7%,2%,1.34,11.38,31%,34%,12%,195,251,10,114,0.19,0.93,0.37,0.62,0.19,0.09,0.07,8,1.8,0.52,0.27,1.37,0.13,0.2,0.05,0.07,0.1,2.77,6
